用例ID,模块,用例名称,前置条件,操作步骤,预期结果,优先级
H-01,浮层,打开学科浮层,首页学段=小学,点击左侧「语文」,浮层显示同步备课/复习备考/小升初三块,P0
H-02,浮层,版本直跳学科页,浮层已开,点击「统编版(2024)」,跳转学科页 module=同步备课 册别默认一年级上册,P0
H-03,浮层,资料类型经弹窗跳转,浮层已开,点「课件」→弹窗选册别→确认,URL含type=课件和volume,P0
H-04,浮层,复习栏目跳转,浮层已开,点击「期中」,module=期中 exam扩展筛选布局,P1
H-05,浮层,升学栏目跳转,浮层已开,点击「小升初真题」,module=小升初真题,P1
H-06,浮层,切换学科刷新,浮层已开(语文),点击「数学」,浮层换为数学筛选项,P1
H-07,浮层,收起浮层,浮层已开,再次点击「语文」,浮层关闭,P1
H-08,浮层,切学段关浮层,浮层已开,顶栏切「初中」,浮层关闭学科列表变初中,P2
H-09,浮层,关闭按钮,浮层已开,点×,浮层关闭,P2
H-10,浮层,加载态,网络慢,点学科,显示「正在加载筛选项…」,P2
F-01,升学,幼小衔接,首页,点顶栏「幼小衔接」,preschool/chinese 拼音识字 keyword=拼音,P0
F-02,升学,小升初,首页,点「小升初」,小升初真题 六年级下册,P0
F-03,升学,中考,首页,点「中考」,junior 中考真题,P1
F-04,升学,高考,首页,点「高考」,senior 高考真题,P1
F-05,升学,对口升学,首页,点「对口升学」,junior 学业水平,P1
M-01,同步备课,默认小学语文,进入首页,查看同步备课侧栏,学段=小学 学科=语文,P1
M-02,试卷,默认小学期中,进入首页,查看试卷专区侧栏,小学 六年级下册 Tab=期中,P1
M-03,升学,默认幼小衔接,进入首页,查看升学专区,Tab=幼小衔接 专题=拼音识字,P1
M-04,升学,查看全部跳转,升学专区幼小衔接,点「查看全部拼音识字资源」,跳转幼儿学段拼音识字,P0
M-05,专区,点资源进详情,任专区有数据,点一条资源,进入/resource/{id},P0
S-01,学科页,默认同步备课,打开/subject/primary/chinese/tongbian2024,栏目=同步备课；目录默认选中首单元（如我上学了）,P0
S-02,目录,选节点过滤,学科页已开,点「我是中国人」,列表仅该课文资源 角标更新,P0
S-03,类型,切换课件,学科页已开,点类型「课件」,列表仅课件 URL type=课件,P0
S-04,栏目,切换国学阅读,学科页已开,FilterBar点国学阅读,布局/列表按栏目变化,P1
S-05,学科,切数学,学科页已开,FilterBar点数学,路由subject=math 整页重载,P1
S-06,成套,找成套,学科页已开,点「找成套」,显示成套包区域,P1
S-07,排序,按最新,学科页已开,点「最新」,列表按上传时间排序,P2
S-08,详情,点资源,列表有数据,点一条,进入资源详情页,P0
S-09,更多栏目,选暑假,学科页已开,更多栏目→暑假,module=暑假,P1
S-10,刷新,F5保持状态,已选节点+类型,F5刷新,URL与筛选状态一致,P1
S-11,册别,切换册别,学科页已开,切换版本/册别确认,目录树与列表重载,P1
S-12,系列,切换品牌,学科页已开,SeriesFilterBar切换,目录/列表按品牌变化,P2
CAT-T01,目录统计,叶子课文,选《我是中国人》,全部=列表total；有资源类型角标一致；0类型隐藏,P0
CAT-T02,目录统计,叶子求和,同CAT-T01,sum(可见类型角标)=全部角标,P0
CAT-T03,目录统计,单元父节点,选「我上学了」,全部≥任一新叶子；列表含多篇课文,P0
CAT-T04,目录统计,单元隔离,我上学了→汉语拼音,角标重算不保留旧单元数字,P0
CAT-T05,目录统计,根节点,选「语文（统编版）」,全部=全册total；≥任一单元,P0
CAT-T06,目录统计,系列叠加,状元版+课文叶子,stats/browse带brandCode；数字≤七彩版,P1
CAT-T07,目录统计,期中复习,目录选期中复习,module切到期中复习；角标匹配,P1
CAT-T08,目录统计,类型筛选,点「课件」,列表仅课件；角标不变,P0
CAT-T09,目录统计,取消类型,点回「全部」,列表恢复；角标仍绑定目录,P0
CAT-T10,目录统计,分页,翻页,角标与total不变,P1
CAT-T11,目录统计,空目录,无资源节点,全部=0；除全部外隐藏；空状态,P1
CAT-T12,目录统计,仅小众类型,节点仅有说课稿,基础栏仅全部；更多内说课稿+N,P1
CAT-T13,目录统计,接口一致,任意节点,browse.total===stats.total,P0
CAT-T14,目录统计,接口一致,任意节点,sum(stats.types)===stats.total,P0
CAT-T15,目录统计,实时性,快速连点目录,无旧数字残留,P1
CAT-T16,目录统计,displayType,选精彩片段Tab,stats.types.displayType=精彩片段,P1
CAT-T17,目录统计,typeSum,任意节点,stats.typeSum===stats.total,P1
CAT-T18,目录统计,scope表,lesson vs unit,includeSubtree false/true,P1
E2E-01,E2E,浮层课件到课文,首页,小学语文→课件→一年级上→点目录节点,列表有数据角标合理,P0
E2E-02,E2E,升学到浏览,首页,升学幼小衔接→查看全部拼音识字,幼儿学段拼音识字+keyword,P0
E2E-03,E2E,顶栏学段资源,全站,AppHeader学段资源→小学,/subject/primary/chinese/tongbian2024,P1
E2E-04,E2E,浮层期中到筛选,首页,语文→期中,exam布局扩展筛选可见,P1
E2E-05,E2E,浏览器后退,学科页,多次切换后点后退,筛选逐步恢复无白屏,P1
YX-01,幼小衔接,拼音识字,升学专区,幼小衔接+拼音识字+查看全部,幼儿/拼音识字/keyword=拼音,P0
YX-02,幼小衔接,数学启蒙,升学专区,选数学启蒙+查看全部,幼儿/数学启蒙/keyword=数学启蒙,P0
YX-03,幼小衔接,习惯养成,升学专区,选习惯养成+查看全部,幼儿/习惯养成/keyword=习惯,P1
YX-04,幼小衔接,暑假衔接,升学专区,选暑假衔接+查看全部,幼儿/暑假衔接/keyword=衔接,P1
YX-05,幼小衔接,落地页卡片,浏览器,访问/promotion/youxiao,四张专题卡片点击可跳转,P1
YX-06,幼小衔接,顶栏入口,首页,点顶栏幼小衔接,同YX-01落地,P0
